what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1504165455678
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504165458069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504165459116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504165463424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504165463445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504165463445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504165464535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504167601754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504167603183
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504167663161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504167666805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504171136994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504171140504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504171141595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504171142498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504171142531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504171145870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504171148672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504171149711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504171149789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504171152680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504171153688
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1504171155887
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504171176534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504171176669
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1504171184291
