what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1506676299332
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1506676299343
started,bundle,org.eclipse.team.svn.core,2.0.4.I20150123-1700,"org.eclipse.team.svn.core",1506676299354
started,bundle,org.eclipse.team.svn.mylyn,2.0.3.I20141224-1700,"org.eclipse.team.svn.mylyn",1506676299354
started,bundle,org.eclipse.team.svn.revision.graph,2.0.3.I20141224-1700,"org.eclipse.team.svn.revision.graph",1506676299367
started,bundle,org.eclipse.team.svn.ui,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui",1506676299390
os,sysinfo,,,"win32",1506676299394
arch,sysinfo,,,"x86_64",1506676299394
ws,sysinfo,,,"win32",1506676299394
locale,sysinfo,,,"en_US",1506676299394
processors,sysinfo,,,"4",1506676299394
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506676299394
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1506676299394
java.specification.name,sysinfo,,,"Java Platform API Specification",1506676299394
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506676299394
java.specification.version,sysinfo,,,"1.8",1506676299394
java.vendor,sysinfo,,,"Oracle Corporation",1506676299394
java.version,sysinfo,,,"1.8.0_121",1506676299394
java.vm.info,sysinfo,,,"mixed mode",1506676299394
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1506676299394
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506676299394
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506676299394
java.vm.specification.version,sysinfo,,,"1.8",1506676299394
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506676299394
java.vm.version,sysinfo,,,"25.121-b13",1506676299394
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506676299599
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1506676299645
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1506676299671
started,bundle,org.eclipse.team.svn.ui.startup,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui.startup",1506676299800
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506676335980
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1506676336123
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1506676336222
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1506676336354
