what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504237446015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504237458448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504237461682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237463199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237464129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504237468764
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1504237471266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237474422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237636990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237646070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237653921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237656171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237675066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504237682567
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1504237684388
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504237692927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504237692991
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1504237695747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237696909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504237698763
