what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504600177152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504600180642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504600181082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504600187014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504600189244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504600191421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504600193351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504600194861
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1504600195561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504600196071
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504600198071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600199951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600213519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504600213539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504600213539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600214569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600272472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504600274342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600278702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600283056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600285606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600288286
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504600306249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600309743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600310485
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504600312185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504600314825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600316085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600431532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504600433128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600434028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600438378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504600438398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504600438398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600439508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600578308
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504600581296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504600603918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504600608098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601645858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601648352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504601648372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601657402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504601665084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601667686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601667826
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504601669726
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504601669766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504601671417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601671830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601720928
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504601721722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601723809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504601729722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504601729756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504601729756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504601731615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504601735865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504601738035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504601741196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504601743036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504601744826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504601745646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504601745886
