what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506509787962
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506509789787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506509790961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506509799826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1506509799845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1506509799845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506509801355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506566724860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506566726382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572212650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572218048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572397376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506572399513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572401441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572415402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506572416451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586124738
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506586133244
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506586135048
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506586135068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506586135947
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506586142816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506586145368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586149116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586149666
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1506586149845
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506586154545
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1506586163290
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1506586163312
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1506586163325
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1506586163552
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.4.v201201131116,"org.eclipse.datatools.connectivity.sqm.core",1506586165845
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1506586165874
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1506586166527
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1506586166554
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506586170894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506586171243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1506586176667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1506586179764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586185229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586203929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1506586205748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586207108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586208117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586208587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586213192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1506586215077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586215820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586220799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1506586224093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586224702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586227822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1506586230189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586232220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586233798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506586236707
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1506586238431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586239867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586297801
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506586297835
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506586301710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586307419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586335751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506586337973
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1506586343001
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1506586345579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586347415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586348097
started,bundle,org.eclipse.mylyn.context.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.ui",1506586348897
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1506586348926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586354140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586362504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586363971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586432579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1506586437741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586438156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586448008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586450580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586473214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1506586476909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586477231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586669167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506586671865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506587767756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506587771015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506587778046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506587781585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1506587781604
