what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428709384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428732232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428736232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504428736731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428739586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428742220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428749450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428751933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428753005
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1504428753019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428753392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428754224
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428754473
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1504428757759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428760023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428764648
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428771554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428772834
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428772834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428774454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428776187
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1504428776201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428776556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428776866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504428779085
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428780430
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428780490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428786511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504428786531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428796266
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428796375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428800792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428825264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428828686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504428832649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504428840864
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504428841436
