what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506928342694
java.vm.version,sysinfo,,,"25.121-b13",1506928342694
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506928342846
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1506928342901
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1506928342916
started,bundle,org.eclipse.team.svn.core,2.0.4.I20150123-1700,"org.eclipse.team.svn.core",1506928343118
started,bundle,org.eclipse.team.svn.ui.startup,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui.startup",1506928343118
started,bundle,org.eclipse.team.svn.ui,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui",1506928343222
started,bundle,org.eclipse.team.svn.revision.graph,2.0.3.I20141224-1700,"org.eclipse.team.svn.revision.graph",1506928343280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506928347530
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1506928347613
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1506928347657
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1506928347732
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928353596
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928353664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506928355429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1506928355475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506928394982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506928397934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506928414275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928417617
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928417634
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928419090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928419140
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928419140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506928420473
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1506928420473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506928422245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929176724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929177753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929178971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929179265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929450351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506929456736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506936454355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506936459388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506936481963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1506936481963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1506936481973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506936483813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506947052216
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506947058047
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1506947059239
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit17,4.1.3.I20150214-1700,"org.polarion.eclipse.team.svn.connector.svnkit17",1506947059650
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1507690556001
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1507690556001
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1507690556001
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1507690556001
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1507690556001
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1507690556001
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1507690556001
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1507690556001
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1507690556001
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1507690556011
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1507690556011
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1507690556011
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1507690556011
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1507690556021
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1507690556021
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1507690556041
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1507690556041
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1507690556041
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1507690556061
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1507690556061
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1507690556061
