what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422017121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422028159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504422030384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504422031695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422032455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422035188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504422036544
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1504422037204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422037466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422040761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504422047593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504422230004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504422231306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504422232459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504422233993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422249251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422265750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422268738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504422268849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1504422295106
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1504422309999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504422311043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1504422480655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1504422484984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504423075321
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1504423078821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504423082943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504423087151
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1504423087182
