what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1505796793779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505796794201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505796795303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796796271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796813547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1505796813570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1505796813570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796814948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796848315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505796849547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505796850115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796850442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796900247
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505796900259
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505796901111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796913911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796990581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505796992375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797032842
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505797034221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797045848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797097822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505797101018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505797104120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797104741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797118702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797126913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797135621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505797140525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505797142362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505805642906
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505805646919
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1505805697185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505805698055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505805699783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505805700552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805715617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805715994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805720219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805747528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805750610
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505805753919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805756669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805761559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505805780880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805782509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505805784200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805788389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805789314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505805800797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505805800901
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1505805806127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505805806610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505805823733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505805829051
